Player,Year,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Uncontested Possessions,Contested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Kicks G,Marks G,Hand Balls G,Disp G,Goals G,Behinds G,Hit Outs G,Tackles G,Rebounds G,Inside 50 G,Clearances G,Clangers G,Frees For G,Frees Against G,Uncontested Possessions G,Contested Possessions G,Contested Marks G,Marks Inside 50 G,One Percenters G,Bounces G,Brownlow
Michael Johnson,2016,14,9,5,19,0,0,0,0,4,2,1,1,0,0,7,13,1,0,7,0,0.5909090909090909,0.9,0.21052631578947367,0.4838709677419355,0.0,0.0,0.0,0.0,0.8,0.25,0.1111111111111111,0.2,0.0,0.0,0.3157894736842105,0.5714285714285714,0.25,0.0,0.7777777777777777,0.0,0
Chris Mayne,2016,7,5,5,12,1,1,0,9,0,0,1,0,0,0,6,5,3,2,1,1,0.2727272727272727,0.5,0.21052631578947367,0.25806451612903225,0.3333333333333333,0.3333333333333333,0.0,0.6428571428571428,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.2631578947368421,0.19047619047619047,0.75,1.0,0.1111111111111111,1.0,0
Lachie Neale,2016,23,10,12,35,0,1,0,2,4,2,9,5,1,1,15,20,0,1,1,1,1.0,1.0,0.5789473684210527,0.9999999999999999,0.0,0.3333333333333333,0.0,0.14285714285714285,0.8,0.25,1.0,1.0,0.3333333333333333,0.3333333333333333,0.736842105263158,0.9047619047619047,0.0,0.5,0.1111111111111111,1.0,3
Matthew Pavlich,2016,5,2,7,12,0,3,0,10,0,2,0,2,0,1,4,7,1,1,0,0,0.18181818181818182,0.2,0.3157894736842105,0.25806451612903225,0.0,1.0,0.0,0.7142857142857142,0.0,0.25,0.0,0.4,0.0,0.3333333333333333,0.15789473684210525,0.2857142857142857,0.25,0.5,0.0,0.0,0
Alex Pearce,2016,2,0,5,7,0,0,0,0,2,0,0,2,1,1,7,1,0,0,7,0,0.045454545454545456,0.0,0.21052631578947367,0.0967741935483871,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.3333333333333333,0.3333333333333333,0.3157894736842105,0.0,0.0,0.0,0.7777777777777777,0.0,0
Danyle Pearce,2016,15,1,8,23,0,0,0,2,1,7,1,5,0,0,8,15,0,0,2,1,0.6363636363636365,0.1,0.3684210526315789,0.6129032258064516,0.0,0.0,0.0,0.14285714285714285,0.2,0.875,0.1111111111111111,1.0,0.0,0.0,0.3684210526315789,0.6666666666666665,0.0,0.0,0.2222222222222222,1.0,0
Tom Sheridan,2016,6,3,14,20,0,0,0,0,3,2,0,1,0,1,3,16,0,0,4,0,0.22727272727272724,0.30000000000000004,0.6842105263157894,0.5161290322580645,0.0,0.0,0.0,0.0,0.6000000000000001,0.25,0.0,0.2,0.0,0.3333333333333333,0.10526315789473684,0.7142857142857142,0.0,0.0,0.4444444444444444,0.0,0
Lee Spurr,2016,11,6,9,20,0,0,0,9,3,0,1,1,2,1,5,14,0,0,2,0,0.45454545454545453,0.6000000000000001,0.42105263157894735,0.5161290322580645,0.0,0.0,0.0,0.6428571428571428,0.6000000000000001,0.0,0.1111111111111111,0.2,0.6666666666666666,0.3333333333333333,0.21052631578947367,0.6190476190476191,0.0,0.0,0.2222222222222222,0.0,0
Cameron Sutcliffe,2016,8,4,8,16,1,0,0,5,4,1,1,3,0,3,4,13,0,1,7,0,0.3181818181818182,0.4,0.3684210526315789,0.3870967741935484,0.3333333333333333,0.0,0.0,0.3571428571428571,0.8,0.125,0.1111111111111111,0.6000000000000001,0.0,1.0,0.15789473684210525,0.5714285714285714,0.0,0.5,0.7777777777777777,0.0,0
Matthew Taberner,2016,10,8,8,18,1,0,1,3,1,2,0,5,0,1,1,17,1,1,1,0,0.4090909090909091,0.8,0.3684210526315789,0.4516129032258064,0.3333333333333333,0.0,0.041666666666666664,0.21428571428571427,0.2,0.25,0.0,1.0,0.0,0.3333333333333333,0.0,0.7619047619047619,0.25,0.5,0.1111111111111111,0.0,0
Darcy Tucker,2016,6,3,10,16,0,0,0,3,3,1,3,1,1,0,7,11,0,1,2,0,0.22727272727272724,0.30000000000000004,0.47368421052631576,0.3870967741935484,0.0,0.0,0.0,0.21428571428571427,0.6000000000000001,0.125,0.3333333333333333,0.2,0.3333333333333333,0.0,0.3157894736842105,0.4761904761904761,0.0,0.5,0.2222222222222222,0.0,0
Michael Walters,2016,11,4,7,18,2,0,0,6,1,8,5,2,2,0,11,6,1,2,1,0,0.45454545454545453,0.4,0.3157894736842105,0.4516129032258064,0.6666666666666666,0.0,0.0,0.42857142857142855,0.2,1.0,0.5555555555555556,0.4,0.6666666666666666,0.0,0.5263157894736843,0.23809523809523808,0.25,1.0,0.1111111111111111,0.0,0
Lachie Weller,2016,9,0,9,18,0,1,0,7,1,4,3,2,2,1,9,8,0,0,0,0,0.36363636363636365,0.0,0.42105263157894735,0.4516129032258064,0.0,0.3333333333333333,0.0,0.5,0.2,0.5,0.3333333333333333,0.4,0.6666666666666666,0.3333333333333333,0.42105263157894735,0.3333333333333333,0.0,0.0,0.0,0.0,0
Angus Brayshaw,2016,3,0,6,9,1,0,0,5,1,3,0,4,1,3,7,4,0,0,1,0,0.06666666666666668,0.0,0.22727272727272724,0.09677419354838707,0.25,0.0,0.0,0.5555555555555556,0.16666666666666666,0.42857142857142855,0.0,0.5714285714285714,0.25,0.75,0.23809523809523808,0.1111111111111111,0.0,0.0,0.07692307692307693,0.0,0
Tomas Bugg,2016,8,3,7,15,1,0,0,8,1,1,3,4,3,2,7,10,1,1,0,0,0.4,0.30000000000000004,0.2727272727272727,0.2903225806451613,0.25,0.0,0.0,0.8888888888888888,0.16666666666666666,0.14285714285714285,0.30000000000000004,0.5714285714285714,0.75,0.5,0.23809523809523808,0.4444444444444445,0.25,0.3333333333333333,0.0,0.0,0
Lynden Dunn,2016,11,6,7,18,0,0,1,2,6,1,1,4,1,2,4,9,0,0,11,0,0.6,0.6000000000000001,0.2727272727272727,0.3870967741935483,0.0,0.0,0.02127659574468085,0.2222222222222222,1.0,0.14285714285714285,0.1,0.5714285714285714,0.25,0.5,0.09523809523809523,0.3888888888888889,0.0,0.0,0.8461538461538463,0.0,0
Sam Frost,2016,6,4,4,10,1,1,0,2,1,3,1,3,1,3,5,6,1,0,2,0,0.2666666666666667,0.4,0.13636363636363635,0.12903225806451613,0.25,0.5,0.0,0.2222222222222222,0.16666666666666666,0.42857142857142855,0.1,0.42857142857142855,0.25,0.75,0.14285714285714285,0.2222222222222222,0.25,0.0,0.15384615384615385,0.0,0
Jeff Garlett,2016,10,2,7,17,4,1,0,3,0,1,0,1,1,0,6,10,0,1,2,0,0.5333333333333333,0.2,0.2727272727272727,0.3548387096774193,1.0,0.5,0.0,0.3333333333333333,0.0,0.14285714285714285,0.0,0.14285714285714285,0.25,0.0,0.19047619047619047,0.4444444444444445,0.0,0.3333333333333333,0.15384615384615385,0.0,0
Max Gawn,2016,12,7,6,18,2,0,47,4,3,2,4,2,1,1,12,4,4,2,1,0,0.6666666666666667,0.7000000000000001,0.22727272727272724,0.3870967741935483,0.5,0.0,1.0,0.4444444444444444,0.5,0.2857142857142857,0.4,0.2857142857142857,0.25,0.25,0.47619047619047616,0.1111111111111111,1.0,0.6666666666666666,0.07692307692307693,0.0,3
James Harmes,2016,6,0,5,11,1,0,0,4,2,1,0,0,0,0,3,7,0,0,0,0,0.2666666666666667,0.0,0.18181818181818182,0.16129032258064518,0.25,0.0,0.0,0.4444444444444444,0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.0,0.047619047619047616,0.27777777777777773,0.0,0.0,0.0,0.0,0
Jesse Hogan,2016,13,10,3,16,0,2,0,0,0,2,0,3,1,0,6,10,2,3,2,0,0.7333333333333334,1.0,0.0909090909090909,0.3225806451612903,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,0.25,0.0,0.19047619047619047,0.4444444444444445,0.5,1.0,0.15384615384615385,0.0,0
Jayden Hunt,2016,8,3,6,14,0,0,0,1,0,5,1,3,1,1,6,9,0,0,2,0,0.4,0.30000000000000004,0.22727272727272724,0.25806451612903225,0.0,0.0,0.0,0.1111111111111111,0.0,0.7142857142857142,0.1,0.42857142857142855,0.25,0.25,0.19047619047619047,0.3888888888888889,0.0,0.0,0.15384615384615385,0.0,0
Neville Jetta,2016,9,5,6,15,0,0,0,3,4,2,0,0,1,0,4,11,0,0,3,0,0.4666666666666667,0.5,0.22727272727272724,0.2903225806451613,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.2857142857142857,0.0,0.0,0.25,0.0,0.09523809523809523,0.49999999999999994,0.0,0.0,0.23076923076923078,0.0,0
Nathan Jones,2016,9,1,17,26,0,0,0,2,3,4,7,4,1,2,11,13,0,0,0,0,0.4666666666666667,0.1,0.7272727272727273,0.6451612903225805,0.0,0.0,0.0,0.2222222222222222,0.5,0.5714285714285714,0.7000000000000001,0.5714285714285714,0.25,0.5,0.4285714285714285,0.6111111111111112,0.0,0.0,0.0,0.0,0
Ben Kennedy,2016,4,3,10,14,0,0,0,2,0,3,0,1,0,0,7,7,0,1,0,0,0.13333333333333333,0.30000000000000004,0.4090909090909091,0.25806451612903225,0.0,0.0,0.0,0.2222222222222222,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.23809523809523808,0.27777777777777773,0.0,0.3333333333333333,0.0,0.0,0
Dean Kent,2016,15,5,10,25,1,1,0,4,2,7,0,1,0,0,8,17,1,1,2,0,0.8666666666666667,0.5,0.4090909090909091,0.6129032258064515,0.25,0.5,0.0,0.4444444444444444,0.3333333333333333,1.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.8333333333333333,0.25,0.3333333333333333,0.15384615384615385,0.0,0
Heritier Lumumba,2016,11,7,6,17,0,0,0,3,2,3,3,2,1,2,4,14,0,0,2,2,0.6,0.7000000000000001,0.22727272727272724,0.3548387096774193,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.30000000000000004,0.2857142857142857,0.25,0.5,0.09523809523809523,0.6666666666666665,0.0,0.0,0.15384615384615385,1.0,0
Tom McDonald,2016,15,8,8,23,0,0,0,2,3,0,0,5,1,0,11,11,4,0,8,0,0.8666666666666667,0.8,0.3181818181818182,0.5483870967741935,0.0,0.0,0.0,0.2222222222222222,0.5,0.0,0.0,0.7142857142857142,0.25,0.0,0.4285714285714285,0.49999999999999994,1.0,0.0,0.6153846153846154,0.0,0
Cameron Pedersen,2016,7,3,6,13,0,1,4,1,1,2,2,1,1,1,8,7,2,1,6,0,0.33333333333333337,0.30000000000000004,0.22727272727272724,0.2258064516129032,0.0,0.5,0.0851063829787234,0.1111111111111111,0.16666666666666666,0.2857142857142857,0.2,0.14285714285714285,0.25,0.25,0.2857142857142857,0.27777777777777773,0.5,0.3333333333333333,0.46153846153846156,0.0,0
Christian Salem,2016,14,2,9,23,1,0,0,4,3,3,2,2,0,0,3,20,0,0,1,0,0.8,0.2,0.36363636363636365,0.5483870967741935,0.25,0.0,0.0,0.4444444444444444,0.5,0.42857142857142855,0.2,0.2857142857142857,0.0,0.0,0.047619047619047616,1.0,0.0,0.0,0.07692307692307693,0.0,0
Dom Tyson,2016,13,4,18,31,2,0,0,4,1,5,5,7,1,3,15,15,0,0,1,0,0.7333333333333334,0.4,0.7727272727272728,0.8064516129032258,0.5,0.0,0.0,0.4444444444444444,0.16666666666666666,0.7142857142857142,0.5,1.0,0.25,0.75,0.619047619047619,0.7222222222222221,0.0,0.0,0.07692307692307693,0.0,1
Bernie Vince,2016,16,3,8,24,3,1,0,3,1,2,4,5,1,1,9,15,1,1,1,0,0.9333333333333333,0.30000000000000004,0.3181818181818182,0.5806451612903225,0.75,0.5,0.0,0.3333333333333333,0.16666666666666666,0.2857142857142857,0.4,0.7142857142857142,0.25,0.25,0.3333333333333333,0.7222222222222221,0.25,0.3333333333333333,0.07692307692307693,0.0,0
Jack Viney,2016,14,3,23,37,0,0,0,9,1,5,9,6,4,1,23,17,0,0,2,0,0.8,0.30000000000000004,1.0,1.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.7142857142857142,0.9,0.8571428571428571,1.0,0.25,0.9999999999999999,0.8333333333333333,0.0,0.0,0.15384615384615385,0.0,2
Josh Wagner,2016,11,4,8,19,0,0,0,5,3,1,1,0,2,0,5,13,0,0,3,0,0.6,0.4,0.3181818181818182,0.41935483870967744,0.0,0.0,0.0,0.5555555555555556,0.5,0.14285714285714285,0.1,0.0,0.5,0.0,0.14285714285714285,0.6111111111111112,0.0,0.0,0.23076923076923078,0.0,0
Jack Watts,2016,7,4,10,17,3,0,0,3,0,0,0,3,2,0,10,6,1,1,1,0,0.33333333333333337,0.4,0.4090909090909091,0.3548387096774193,0.75,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.42857142857142855,0.5,0.0,0.38095238095238093,0.2222222222222222,0.25,0.3333333333333333,0.07692307692307693,0.0,0
David Astbury,2016,9,5,3,12,0,1,0,1,1,4,0,2,3,1,10,3,3,0,5,0,0.4666666666666667,0.5,0.0909090909090909,0.1935483870967742,0.0,0.5,0.0,0.1111111111111111,0.16666666666666666,0.5714285714285714,0.0,0.2857142857142857,0.75,0.25,0.38095238095238093,0.05555555555555555,0.75,0.0,0.38461538461538464,0.0,0
Jake Batchelor,2016,4,1,2,6,0,0,0,1,1,1,0,2,0,1,2,4,0,0,2,0,0.13333333333333333,0.1,0.045454545454545456,0.0,0.0,0.0,0.0,0.1111111111111111,0.16666666666666666,0.14285714285714285,0.0,0.2857142857142857,0.0,0.25,0.0,0.1111111111111111,0.0,0.0,0.15384615384615385,0.0,0
Troy Chaplin,2016,7,3,1,8,1,0,3,2,1,4,1,1,1,1,4,4,0,0,5,0,0.33333333333333337,0.30000000000000004,0.0,0.06451612903225806,0.25,0.0,0.06382978723404255,0.2222222222222222,0.16666666666666666,0.5714285714285714,0.1,0.14285714285714285,0.25,0.25,0.09523809523809523,0.1111111111111111,0.0,0.0,0.38461538461538464,0.0,0
Trent Cotchin,2016,17,1,15,32,0,1,1,6,2,1,10,2,0,0,20,13,0,0,1,0,1.0,0.1,0.6363636363636365,0.8387096774193548,0.0,0.5,0.02127659574468085,0.6666666666666666,0.3333333333333333,0.14285714285714285,1.0,0.2857142857142857,0.0,0.0,0.8571428571428571,0.6111111111111112,0.0,0.0,0.07692307692307693,0.0,0
Shane Edwards,2016,13,3,10,23,1,1,0,3,0,7,6,2,0,0,8,14,0,1,0,0,0.7333333333333334,0.30000000000000004,0.4090909090909091,0.5483870967741935,0.25,0.5,0.0,0.3333333333333333,0.0,1.0,0.6000000000000001,0.2857142857142857,0.0,0.0,0.2857142857142857,0.6666666666666665,0.0,0.3333333333333333,0.0,0.0,0
Brandon Ellis,2016,11,2,8,19,1,0,0,4,2,1,1,4,0,2,3,15,0,1,2,0,0.6,0.2,0.3181818181818182,0.41935483870967744,0.25,0.0,0.0,0.4444444444444444,0.3333333333333333,0.14285714285714285,0.1,0.5714285714285714,0.0,0.5,0.047619047619047616,0.7222222222222221,0.0,0.3333333333333333,0.15384615384615385,0.0,0
Corey Ellis,2016,4,0,7,11,0,0,0,1,2,0,2,2,0,0,3,7,0,0,1,0,0.13333333333333333,0.0,0.2727272727272727,0.16129032258064518,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.2,0.2857142857142857,0.0,0.0,0.047619047619047616,0.27777777777777773,0.0,0.0,0.07692307692307693,0.0,0
Shaun Grigg,2016,9,4,13,22,0,0,3,2,1,7,3,1,0,0,12,10,1,0,0,0,0.4666666666666667,0.4,0.5454545454545455,0.5161290322580645,0.0,0.0,0.06382978723404255,0.2222222222222222,0.16666666666666666,1.0,0.30000000000000004,0.14285714285714285,0.0,0.0,0.47619047619047616,0.4444444444444445,0.25,0.0,0.0,0.0,0
Bachar Houli,2016,12,3,2,14,0,0,0,3,6,4,1,4,1,2,4,8,0,0,1,0,0.6666666666666667,0.30000000000000004,0.045454545454545456,0.25806451612903225,0.0,0.0,0.0,0.3333333333333333,1.0,0.5714285714285714,0.1,0.5714285714285714,0.25,0.5,0.09523809523809523,0.3333333333333333,0.0,0.0,0.07692307692307693,0.0,0
Kane Lambert,2016,8,3,4,12,0,1,0,4,2,4,1,3,0,2,2,9,0,0,1,0,0.4,0.30000000000000004,0.13636363636363635,0.1935483870967742,0.0,0.5,0.0,0.4444444444444444,0.3333333333333333,0.5714285714285714,0.1,0.42857142857142855,0.0,0.5,0.0,0.3888888888888889,0.0,0.0,0.07692307692307693,0.0,0
Sam Lloyd,2016,8,1,6,14,3,1,0,7,0,1,1,0,1,0,8,5,1,1,0,0,0.4,0.1,0.22727272727272724,0.25806451612903225,0.75,0.5,0.0,0.7777777777777777,0.0,0.14285714285714285,0.1,0.0,0.25,0.0,0.2857142857142857,0.16666666666666669,0.25,0.3333333333333333,0.0,0.0,0
Ivan Maric,2016,6,3,7,13,0,0,26,2,1,2,2,1,1,1,6,6,1,0,2,0,0.2666666666666667,0.30000000000000004,0.2727272727272727,0.2258064516129032,0.0,0.0,0.5531914893617021,0.2222222222222222,0.16666666666666666,0.2857142857142857,0.2,0.14285714285714285,0.25,0.25,0.19047619047619047,0.2222222222222222,0.25,0.0,0.15384615384615385,0.0,0
Dustin Martin,2016,11,3,7,18,1,0,0,5,3,3,3,2,0,0,9,8,0,1,2,0,0.6,0.30000000000000004,0.2727272727272727,0.3870967741935483,0.25,0.0,0.0,0.5555555555555556,0.5,0.42857142857142855,0.30000000000000004,0.2857142857142857,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.15384615384615385,0.0,0
Kamdyn McIntosh,2016,9,3,4,13,0,0,0,4,4,1,0,2,2,1,7,6,1,0,1,0,0.4666666666666667,0.30000000000000004,0.13636363636363635,0.2258064516129032,0.0,0.0,0.0,0.4444444444444444,0.6666666666666666,0.14285714285714285,0.0,0.2857142857142857,0.5,0.25,0.23809523809523808,0.2222222222222222,0.25,0.0,0.07692307692307693,0.0,0
Connor Menadue,2016,4,0,7,11,0,0,0,2,0,2,0,2,1,0,2,10,0,0,1,0,0.13333333333333333,0.0,0.2727272727272727,0.16129032258064518,0.0,0.0,0.0,0.2222222222222222,0.0,0.2857142857142857,0.0,0.2857142857142857,0.25,0.0,0.0,0.4444444444444445,0.0,0.0,0.07692307692307693,0.0,0
Anthony Miles,2016,13,3,12,25,1,0,0,7,1,4,6,2,3,1,14,11,0,0,1,0,0.7333333333333334,0.30000000000000004,0.49999999999999994,0.6129032258064515,0.25,0.0,0.0,0.7777777777777777,0.16666666666666666,0.5714285714285714,0.6000000000000001,0.2857142857142857,0.75,0.25,0.5714285714285714,0.49999999999999994,0.0,0.0,0.07692307692307693,0.0,0
Steven Morris,2016,2,0,4,6,0,0,0,4,1,0,0,2,0,2,4,2,0,0,5,0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.4444444444444444,0.16666666666666666,0.0,0.0,0.2857142857142857,0.0,0.5,0.09523809523809523,0.0,0.0,0.0,0.38461538461538464,0.0,0
Alex Rance,2016,11,3,5,16,0,0,0,1,4,1,0,4,2,2,10,5,2,0,13,1,0.6,0.30000000000000004,0.18181818181818182,0.3225806451612903,0.0,0.0,0.0,0.1111111111111111,0.6666666666666666,0.14285714285714285,0.0,0.5714285714285714,0.5,0.5,0.38095238095238093,0.16666666666666669,0.5,0.0,1.0,0.5,0
Jack Riewoldt,2016,16,7,8,24,3,2,0,0,0,6,0,4,2,2,15,10,3,2,0,0,0.9333333333333333,0.7000000000000001,0.3181818181818182,0.5806451612903225,0.75,1.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.5714285714285714,0.5,0.5,0.619047619047619,0.4444444444444445,0.75,0.6666666666666666,0.0,0.0,0
Daniel Rioli,2016,2,0,8,10,0,0,0,3,0,0,0,3,3,1,8,3,0,0,0,0,0.0,0.0,0.3181818181818182,0.12903225806451613,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.42857142857142855,0.75,0.25,0.2857142857142857,0.05555555555555555,0.0,0.0,0.0,0.0,0
Jacob Townsend,2016,4,2,8,12,0,0,0,8,1,1,3,5,1,4,6,6,0,0,0,0,0.13333333333333333,0.2,0.3181818181818182,0.1935483870967742,0.0,0.0,0.0,0.8888888888888888,0.16666666666666666,0.14285714285714285,0.30000000000000004,0.7142857142857142,0.25,1.0,0.19047619047619047,0.2222222222222222,0.0,0.0,0.0,0.0,0
Ty Vickery,2016,5,3,2,7,3,1,7,2,0,2,0,1,1,1,6,2,1,2,2,0,0.19999999999999998,0.30000000000000004,0.045454545454545456,0.03225806451612903,0.75,0.5,0.14893617021276595,0.2222222222222222,0.0,0.2857142857142857,0.0,0.14285714285714285,0.25,0.25,0.19047619047619047,0.0,0.25,0.6666666666666666,0.15384615384615385,0.0,0
Taylor Adams,2016,17,4,19,36,1,0,0,1,5,4,3,3,0,1,14,22,0,0,2,0,0.8823529411764706,0.42857142857142855,0.9473684210526316,1.0,0.25,0.0,0.0,0.1111111111111111,0.8333333333333333,0.4444444444444444,0.3333333333333333,0.42857142857142855,0.0,0.3333333333333333,0.9333333333333333,0.9999999999999999,0.0,0.0,0.16666666666666666,0.0,0
James Aish,2016,6,3,8,14,0,1,0,1,2,2,0,1,2,0,3,11,0,0,0,0,0.2352941176470588,0.2857142857142857,0.3684210526315789,0.26666666666666666,0.0,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.14285714285714285,0.6666666666666666,0.0,0.2,0.38888888888888884,0.0,0.0,0.0,0.0,0
Jarryd Blair,2016,7,4,9,16,3,1,0,7,0,1,5,2,3,2,11,6,0,2,0,0,0.2941176470588235,0.42857142857142855,0.42105263157894735,0.3333333333333333,0.75,0.3333333333333333,0.0,0.7777777777777777,0.0,0.1111111111111111,0.5555555555555556,0.2857142857142857,1.0,0.6666666666666666,0.7333333333333333,0.1111111111111111,0.0,0.5,0.0,0.0,0
Nathan Brown,2016,2,2,4,6,0,0,0,1,0,0,0,0,0,0,1,5,0,0,7,0,0.0,0.14285714285714285,0.15789473684210525,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.05555555555555558,0.0,0.0,0.5833333333333333,0.0,0
Mason Cox,2016,6,3,4,10,1,1,11,3,0,2,1,1,1,0,4,6,1,1,2,0,0.2352941176470588,0.2857142857142857,0.15789473684210525,0.1333333333333333,0.25,0.3333333333333333,0.36666666666666664,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,0.14285714285714285,0.3333333333333333,0.0,0.26666666666666666,0.1111111111111111,0.3333333333333333,0.25,0.16666666666666666,0.0,0
Jack Crisp,2016,12,3,13,25,0,0,0,3,3,1,5,6,1,1,11,14,1,0,0,0,0.588235294117647,0.2857142857142857,0.631578947368421,0.6333333333333333,0.0,0.0,0.0,0.3333333333333333,0.5,0.1111111111111111,0.5555555555555556,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.7333333333333333,0.5555555555555555,0.3333333333333333,0.0,0.0,0.0,0
Jordan de Goey,2016,10,6,13,23,1,0,0,5,0,4,1,1,0,0,6,16,1,1,0,0,0.47058823529411764,0.7142857142857142,0.631578947368421,0.5666666666666667,0.25,0.0,0.0,0.5555555555555556,0.0,0.4444444444444444,0.1111111111111111,0.14285714285714285,0.0,0.0,0.4,0.6666666666666666,0.3333333333333333,0.25,0.0,0.0,0
Alex Fasolo,2016,13,6,9,22,4,1,0,3,1,3,0,3,1,2,9,13,1,3,1,0,0.6470588235294117,0.7142857142857142,0.42105263157894735,0.5333333333333332,1.0,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.6,0.5,0.3333333333333333,0.75,0.08333333333333333,0.0,0
Jack Frost,2016,8,5,6,14,0,0,0,3,2,2,0,0,0,0,4,9,1,1,12,0,0.3529411764705882,0.5714285714285714,0.2631578947368421,0.26666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.26666666666666666,0.2777777777777778,0.3333333333333333,0.25,1.0,0.0,0
Levi Greenwood,2016,13,2,5,18,2,0,0,8,2,7,4,7,0,3,8,9,0,1,1,0,0.6470588235294117,0.14285714285714285,0.21052631578947367,0.39999999999999997,0.5,0.0,0.0,0.8888888888888888,0.3333333333333333,0.7777777777777777,0.4444444444444444,1.0,0.0,1.0,0.5333333333333333,0.2777777777777778,0.0,0.25,0.08333333333333333,0.0,0
Brodie Grundy,2016,10,4,6,16,0,1,29,3,0,4,5,4,2,2,10,6,1,1,0,0,0.47058823529411764,0.42857142857142855,0.2631578947368421,0.3333333333333333,0.0,0.3333333333333333,0.9666666666666667,0.3333333333333333,0.0,0.4444444444444444,0.5555555555555556,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.25,0.0,0.0,0
Jeremy Howe,2016,9,6,8,17,2,0,0,5,0,1,0,4,1,2,7,10,2,2,0,0,0.4117647058823529,0.7142857142857142,0.3684210526315789,0.36666666666666664,0.5,0.0,0.0,0.5555555555555556,0.0,0.1111111111111111,0.0,0.5714285714285714,0.3333333333333333,0.6666666666666666,0.4666666666666667,0.33333333333333337,0.6666666666666666,0.5,0.0,0.0,0
Brayden Maynard,2016,9,2,6,15,0,1,0,4,1,2,0,1,0,1,0,13,0,0,3,1,0.4117647058823529,0.14285714285714285,0.2631578947368421,0.3,0.0,0.3333333333333333,0.0,0.4444444444444444,0.16666666666666666,0.2222222222222222,0.0,0.14285714285714285,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0.25,0.5,0
Darcy Moore,2016,6,5,4,10,2,0,2,0,0,2,0,0,0,0,4,6,2,2,2,0,0.2352941176470588,0.5714285714285714,0.15789473684210525,0.1333333333333333,0.5,0.0,0.06666666666666667,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.26666666666666666,0.1111111111111111,0.6666666666666666,0.5,0.16666666666666666,0.0,0
Adam Oxley,2016,12,6,7,19,1,0,0,4,6,1,0,0,0,0,4,13,2,0,0,1,0.588235294117647,0.7142857142857142,0.3157894736842105,0.4333333333333333,0.25,0.0,0.0,0.4444444444444444,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.26666666666666666,0.5,0.6666666666666666,0.0,0.0,0.5,0
Scott Pendlebury,2016,15,6,20,35,0,1,0,6,1,6,4,5,2,1,15,22,0,0,2,0,0.7647058823529411,0.7142857142857142,1.0,0.9666666666666668,0.0,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.4444444444444444,0.7142857142857142,0.6666666666666666,0.3333333333333333,1.0,0.9999999999999999,0.0,0.0,0.16666666666666666,0.0,2
Ben Reid,2016,8,7,8,16,0,0,0,1,5,1,0,2,0,1,8,8,3,0,2,0,0.3529411764705882,0.8571428571428572,0.3684210526315789,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.8333333333333333,0.1111111111111111,0.0,0.2857142857142857,0.0,0.3333333333333333,0.5333333333333333,0.2222222222222222,1.0,0.0,0.16666666666666666,0.0,0
Steele Sidebottom,2016,19,7,14,33,4,0,0,4,5,4,2,2,1,1,12,21,2,1,0,0,1.0,0.8571428571428572,0.6842105263157894,0.9000000000000001,1.0,0.0,0.0,0.4444444444444444,0.8333333333333333,0.4444444444444444,0.2222222222222222,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.8,0.9444444444444443,0.6666666666666666,0.25,0.0,0.0,3
