Player,Year,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Uncontested Possessions,Contested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Kicks G,Marks G,Hand Balls G,Disp G,Goals G,Behinds G,Hit Outs G,Tackles G,Rebounds G,Inside 50 G,Clearances G,Clangers G,Frees For G,Frees Against G,Uncontested Possessions G,Contested Possessions G,Contested Marks G,Marks Inside 50 G,One Percenters G,Bounces G,Brownlow
Jack Riewoldt,2016,10,6,8,18,2,1,0,3,0,1,2,3,2,2,9,10,0,3,0,0,0.42105263157894735,0.6000000000000001,0.38888888888888884,0.5357142857142857,0.6666666666666666,0.5,0.0,0.42857142857142855,0.0,0.125,0.2,0.5,0.5,0.6666666666666666,0.5,0.35,0.0,1.0,0.0,0.0,0
Daniel Rioli,2016,6,2,1,7,0,2,0,6,1,3,0,0,1,0,1,5,0,1,0,0,0.21052631578947367,0.2,0.0,0.14285714285714285,0.0,1.0,0.0,0.8571428571428571,0.125,0.375,0.0,0.0,0.25,0.0,0.0,0.09999999999999998,0.0,0.3333333333333333,0.0,0.0,0
Jacob Townsend,2016,9,4,7,16,0,0,1,3,1,4,2,3,0,1,8,8,0,0,0,0,0.3684210526315789,0.4,0.33333333333333326,0.46428571428571425,0.0,0.0,0.041666666666666664,0.42857142857142855,0.125,0.5,0.2,0.5,0.0,0.3333333333333333,0.4375,0.25,0.0,0.0,0.0,0.0,0
Ty Vickery,2016,6,4,2,8,3,2,1,0,0,0,0,0,1,0,3,5,2,3,0,0,0.21052631578947367,0.4,0.05555555555555555,0.17857142857142855,1.0,1.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.09999999999999998,0.6666666666666666,1.0,0.0,0.0,0
Nick Vlastuin,2016,10,6,8,18,1,0,0,1,6,0,1,1,1,1,6,12,0,0,3,0,0.42105263157894735,0.6000000000000001,0.38888888888888884,0.5357142857142857,0.3333333333333333,0.0,0.0,0.14285714285714285,0.75,0.0,0.1,0.16666666666666666,0.25,0.3333333333333333,0.3125,0.45000000000000007,0.0,0.0,0.42857142857142855,0.0,0
Blaine Boekhorst,2016,11,6,4,15,0,1,0,3,1,5,1,0,0,0,4,9,0,0,2,0,0.4736842105263158,0.6000000000000001,0.16666666666666666,0.42857142857142855,0.0,0.5,0.0,0.42857142857142855,0.125,0.625,0.1,0.0,0.0,0.0,0.1875,0.3,0.0,0.0,0.2857142857142857,0.0,0
Dylan Buckley,2016,2,3,1,3,0,0,0,3,0,1,0,3,1,2,1,3,0,0,0,0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.125,0.0,0.5,0.25,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0
Levi Casboult,2016,8,7,4,12,0,2,1,2,0,1,0,1,1,0,5,6,2,3,1,0,0.3157894736842105,0.7000000000000001,0.16666666666666666,0.3214285714285714,0.0,1.0,0.041666666666666664,0.2857142857142857,0.0,0.125,0.0,0.16666666666666666,0.25,0.0,0.25,0.15000000000000002,0.6666666666666666,1.0,0.14285714285714285,0.0,0
Patrick Cripps,2016,8,4,19,27,1,1,1,3,1,2,10,2,0,2,17,10,0,1,1,0,0.3157894736842105,0.4,1.0,0.8571428571428571,0.3333333333333333,0.5,0.041666666666666664,0.42857142857142855,0.125,0.25,1.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.35,0.0,0.3333333333333333,0.14285714285714285,0.0,3
Ed Curnow,2016,9,1,11,20,0,0,0,4,3,1,3,2,0,0,8,12,0,0,1,1,0.3684210526315789,0.1,0.5555555555555555,0.6071428571428571,0.0,0.0,0.0,0.5714285714285714,0.375,0.125,0.30000000000000004,0.3333333333333333,0.0,0.0,0.4375,0.45000000000000007,0.0,0.0,0.14285714285714285,1.0,0
Sam Docherty,2016,13,6,16,29,0,0,0,2,3,1,0,2,2,0,8,21,1,0,3,0,0.5789473684210525,0.6000000000000001,0.8333333333333333,0.9285714285714285,0.0,0.0,0.0,0.2857142857142857,0.375,0.125,0.0,0.3333333333333333,0.5,0.0,0.4375,0.9,0.3333333333333333,0.0,0.42857142857142855,0.0,0
Andrejs Everitt,2016,8,5,9,17,2,0,0,2,0,2,1,1,1,0,6,11,0,2,0,1,0.3157894736842105,0.5,0.4444444444444444,0.49999999999999994,0.6666666666666666,0.0,0.0,0.2857142857142857,0.0,0.25,0.1,0.16666666666666666,0.25,0.0,0.3125,0.4,0.0,0.6666666666666666,0.0,1.0,0
Bryce Gibbs,2016,15,6,15,30,1,0,2,7,1,4,2,2,1,1,7,22,0,1,0,0,0.6842105263157895,0.6000000000000001,0.7777777777777777,0.9642857142857143,0.3333333333333333,0.0,0.08333333333333333,1.0,0.125,0.5,0.2,0.3333333333333333,0.25,0.3333333333333333,0.375,0.9500000000000001,0.0,0.3333333333333333,0.0,0.0,0
