"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Mark Bayes",988,"SY","CA","1",11,2,8,19,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"David Bolton",1535,"SY","CA","1",8,1,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rod Carter",1585,"SY","CA","1",6,0,5,11,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Neil Cordy",1288,"SY","CA","1",11,4,6,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mark Eustice",1340,"SY","CA","1",8,1,2,10,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Shane Fell",11465,"SY","CA","1",7,5,0,7,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Gerard Healy",1366,"SY","CA","1",19,3,9,28,1,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Wayne Henwood",1294,"SY","CA","1",6,2,3,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Leon Higgins",652,"SY","CA","1",14,3,5,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Paul Kelly",993,"SY","CA","1",5,1,7,12,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Barry Mitchell",157,"SY","CA","1",21,3,10,31,3,2,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"David Murphy",1341,"SY","CA","1",10,1,5,15,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Michael Parsons",1413,"SY","CA","1",1,1,5,6,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Craig Potter",1279,"SY","CA","1",7,1,8,15,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Terry Thripp",1304,"SY","CA","1",7,1,5,12,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Bernard Toohey",1313,"SY","CA","1",7,1,4,11,0,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Brad Tunbridge",1263,"SY","CA","1",3,2,3,6,0,0,12,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
