"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Kevin Bartlett",1509,"RI","CA","1",11,4,0,11,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Emmett Dunne",1689,"RI","CA","1",10,5,4,14,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Phil Egan",1702,"RI","CA","1",12,4,2,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Tim Gepp",1752,"RI","CA","1",2,0,7,9,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Jim Jess",1845,"RI","CA","1",13,6,4,17,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Merv Keane",1861,"RI","CA","1",16,3,7,23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Mark Lee",1363,"RI","CA","1",14,4,8,22,0,1,30,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0
"Geoff Martin",11097,"RI","CA","1",3,0,3,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"David Palm",2053,"RI","CA","1",6,1,7,13,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Maurice Rioli",2113,"RI","CA","1",13,1,8,21,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Michael Roach",2114,"RI","CA","1",8,5,4,12,1,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Barry Rowlings",2133,"RI","CA","1",16,1,4,20,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Paul Sarah",2142,"RI","CA","1",3,0,0,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Ian Sartori",2141,"RI","CA","1",7,1,4,11,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Wayne Shand",11138,"RI","CA","1",14,4,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Greg Strachan",2198,"RI","CA","1",5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darryl Sutton",2200,"RI","CA","1",2,3,3,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Brian Taylor",1403,"RI","CA","1",7,5,0,7,6,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Dale Weightman",1256,"RI","CA","1",8,2,6,14,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Robert Wiley",2280,"RI","CA","1",19,2,3,22,2,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"Rodney Ashman",1492,"CA","RI","1",18,4,8,26,4,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
"Rod Austin",1496,"CA","RI","1",18,9,6,24,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Rohan Brown",11198,"CA","RI","1",7,4,4,11,1,0,16,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Jim Buckley",1564,"CA","RI","1",6,0,5,11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Mark Buckley",1565,"CA","RI","1",7,5,2,9,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"Ross Ditchburn",1676,"CA","RI","1",6,3,0,6,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Bruce Doull",1680,"CA","RI","1",6,2,11,17,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"David Glascott",1333,"CA","RI","1",14,5,7,21,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Wayne Harmes",1790,"CA","RI","1",8,3,4,12,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Brendan Hartney",11113,"CA","RI","1",13,3,5,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Scott Howell",11072,"CA","RI","1",3,3,5,8,0,0,9,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Ken Hunter",1826,"CA","RI","1",13,17,15,28,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Wayne Johnston",1849,"CA","RI","1",18,4,10,28,3,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Mark MacLure",1931,"CA","RI","1",9,5,5,14,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Alex Marcou",1946,"CA","RI","1",25,9,9,34,1,4,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Phil Maylin",1951,"CA","RI","1",18,3,1,19,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Peter McConville",1959,"CA","RI","1",16,12,9,25,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"Bruce Reid",10923,"CA","RI","1",11,4,5,16,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Ken Sheldon",1411,"CA","RI","1",13,2,7,20,0,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Geoff Southby",2183,"CA","RI","1",14,6,6,20,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Les Bamblett",1506,"ME","CW","1",15,1,5,20,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Adrian Battiston",1515,"ME","CW","1",14,1,14,28,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Dale Dickson",11121,"ME","CW","1",7,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roger Ellingworth",1705,"ME","CW","1",13,6,7,20,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Tony Elshaug",1707,"ME","CW","1",12,3,2,14,4,1,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0
"Robert Flower",1725,"ME","CW","1",13,5,11,24,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Peter Giles",1756,"ME","CW","1",9,3,5,14,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0
