"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Brett Allison",770,"NM","AD","1",9,4,4,13,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Matt Armstrong",763,"NM","AD","1",15,5,7,22,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"John Blakey",762,"NM","AD","1",11,3,2,13,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Warren Campbell",773,"NM","AD","1",6,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matthew Capuano",774,"NM","AD","1",5,3,0,5,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Wayne Carey",766,"NM","AD","1",11,7,6,17,2,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Alex Ishchenko",771,"NM","AD","1",2,1,1,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"David King",759,"NM","AD","1",10,3,4,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Dean Laidley",756,"NM","AD","1",9,3,3,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"John Longmire",760,"NM","AD","1",6,4,2,8,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Mick Martyn",757,"NM","AD","1",5,5,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corey McKernan",775,"NM","AD","1",10,5,5,15,0,0,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"Trent Nichols",765,"NM","AD","1",13,2,4,17,3,1,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Keenan Reynolds",769,"NM","AD","1",7,2,2,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Mark Roberts",767,"NM","AD","1",5,2,6,11,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Anthony Rock",674,"NM","AD","1",6,1,4,10,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Wayne Schwass",764,"NM","AD","1",23,2,2,25,0,1,0,1,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0
"Robert Scott",768,"NM","AD","1",12,2,6,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Craig Sholl",761,"NM","AD","1",9,3,8,17,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Ross Smith",758,"NM","AD","1",8,0,3,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Stevens",772,"NM","AD","1",18,2,7,25,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Mark Bickley",12,"AD","NM","1",5,0,3,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"David Brown",15,"AD","NM","1",14,3,4,18,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Brett Chalmers",2,"AD","NM","1",6,1,1,7,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Matthew Connell",19,"AD","NM","1",18,5,10,28,1,0,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Tony Hall",13,"AD","NM","1",6,4,6,12,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Rod Jameson",3,"AD","NM","1",7,1,2,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Andrew Jarman",8,"AD","NM","1",8,3,5,13,2,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Matthew Kluzek",7,"AD","NM","1",8,1,2,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Scott Lee",1,"AD","NM","1",17,3,5,22,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Jason McCartney",11,"AD","NM","1",8,2,5,13,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Chris McDermott",17,"AD","NM","1",15,5,17,32,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"Tony McGuinness",18,"AD","NM","1",18,0,7,25,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Martin McKinnon",6,"AD","NM","1",6,5,12,18,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Tony Modra",14,"AD","NM","1",3,1,4,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"David Pittman",20,"AD","NM","1",5,0,7,12,0,0,8,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0
"Matthew Powell",21,"AD","NM","1",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shaun Rehn",16,"AD","NM","1",10,6,10,20,2,3,5,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Mark Ricciuto",4,"AD","NM","1",17,7,8,25,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Nigel Smart",5,"AD","NM","1",7,5,6,13,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
