"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"David Ackerly",1478,"NM","BB","1",13,4,5,18,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Mark Arceri",1307,"NM","BB","1",17,8,2,19,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Darren Crocker",781,"NM","BB","1",9,4,7,16,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"David Dwyer",1692,"NM","BB","1",14,2,6,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Peter German",1228,"NM","BB","1",12,5,4,16,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Darren Harris",1388,"NM","BB","1",11,6,2,13,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Steve Hickey",1807,"NM","BB","1",10,3,3,13,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Dale Holmes",11334,"NM","BB","1",3,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John Holt",1815,"NM","BB","1",11,7,9,20,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Jim Krakouer",1389,"NM","BB","1",13,7,5,18,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Matthew Larkin",1303,"NM","BB","1",12,6,14,26,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"John Law",1390,"NM","BB","1",7,2,3,10,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Jason Love",11295,"NM","BB","1",3,1,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Stephen McCann",1956,"NM","BB","1",5,1,4,9,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Donald McDonald",1961,"NM","BB","1",8,2,4,12,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"John Mossop",2008,"NM","BB","1",5,6,6,11,1,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Wayne Schimmelbusch",2145,"NM","BB","1",12,6,7,19,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ross Smith",758,"NM","BB","1",12,3,2,14,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Darren Steele",1236,"NM","BB","1",18,5,7,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jamie Stevenson",11249,"NM","BB","1",9,6,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peter Banfield",11225,"BB","NM","1",6,1,3,9,0,1,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Matthew Campbell",1281,"BB","NM","1",14,2,5,19,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dale Dickson",11121,"BB","NM","1",11,4,8,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Jim Edmond",1698,"BB","NM","1",11,6,5,16,3,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"John Fidge",11213,"BB","NM","1",16,4,9,25,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
