"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Jon Ballantyne",225,"CW","FI","1",5,2,0,5,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Gavin Brown",216,"CW","FI","1",16,1,8,24,0,0,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
"Nathan Buckley",217,"CW","FI","1",13,8,5,18,1,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Kent Butcher",219,"CW","FI","1",11,2,3,14,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Gavin Crosisca",212,"CW","FI","1",9,6,2,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Tony Francis",238,"CW","FI","1",7,0,4,11,0,1,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Mark Fraser",325,"CW","FI","1",9,4,6,15,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Jon Hassall",209,"CW","FI","1",5,1,5,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brett James",46,"CW","FI","1",3,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jason McCartney",11,"CW","FI","1",9,8,4,13,3,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
"Mick McGuane",174,"CW","FI","1",19,4,2,21,1,1,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Damian Monkhorst",223,"CW","FI","1",2,1,4,6,0,0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Gary Pert",210,"CW","FI","1",13,7,1,14,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Mark Richardson",221,"CW","FI","1",10,3,1,11,1,1,9,4,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Saverio Rocca",228,"CW","FI","1",9,2,1,10,2,2,5,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Stephen Ryan",1167,"CW","FI","1",4,5,3,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tony Shaw",1166,"CW","FI","1",4,0,5,9,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Andrew Tranquilli",240,"CW","FI","1",5,4,1,6,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Shane Watson",214,"CW","FI","1",10,4,5,15,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Paul Williams",215,"CW","FI","1",12,5,3,15,5,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Graham Wright",235,"CW","FI","1",6,2,4,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Matt Armstrong",763,"FI","CW","1",17,3,9,26,3,0,0,2,0,0,0,0,2,7,3,0,0,0,0,0,0,0,0
"David Bain",1172,"FI","CW","1",6,1,11,17,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Jason Baldwin",377,"FI","CW","1",7,2,4,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Brad Boyd",374,"FI","CW","1",11,2,11,22,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Trent Cummings",375,"FI","CW","1",6,1,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Michael Dunstan",1046,"FI","CW","1",10,2,3,13,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Simon Hawking",370,"FI","CW","1",5,1,5,10,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Jeff Hogg",381,"FI","CW","1",2,2,3,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"David Johnston",1173,"FI","CW","1",6,2,6,12,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Tom Kavanagh",1168,"FI","CW","1",2,0,8,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ross Lyon",103,"FI","CW","1",6,2,5,11,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"James Manson",395,"FI","CW","1",6,4,3,9,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"John McCarthy",382,"FI","CW","1",13,4,5,18,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
