"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Gavin Brown",216,"CW","WB","1",9,3,10,19,0,1,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0
"Michael Christian",229,"CW","WB","1",11,7,7,18,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Peter Daicos",1253,"CW","WB","1",7,0,3,10,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Tony Francis",238,"CW","WB","1",19,6,6,25,1,1,0,2,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0
"Mark Fraser",325,"CW","WB","1",10,1,7,17,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Michael Gayfer",4003,"CW","WB","1",7,4,10,17,0,0,0,1,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0
"Troy Lehmann",1210,"CW","WB","1",7,2,5,12,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Mick McGuane",174,"CW","WB","1",19,3,5,24,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Barry Mitchell",157,"CW","WB","1",15,2,8,23,0,3,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
"Damian Monkhorst",223,"CW","WB","1",7,9,14,21,0,0,13,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Gary Pert",210,"CW","WB","1",3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alan Richardson",231,"CW","WB","1",16,8,3,19,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Mark Richardson",221,"CW","WB","1",1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saverio Rocca",228,"CW","WB","1",6,5,1,7,5,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Scott Russell",218,"CW","WB","1",12,1,11,23,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tony Shaw",1166,"CW","WB","1",10,2,7,17,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Craig Starcevich",105,"CW","WB","1",13,5,9,22,1,2,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
"Shane Watson",214,"CW","WB","1",12,6,7,19,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Paul Williams",215,"CW","WB","1",10,2,0,10,5,1,0,2,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
"Graham Wright",235,"CW","WB","1",17,3,10,27,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Simon Atkins",376,"WB","CW","1",16,1,15,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Jon Ballantyne",225,"WB","CW","1",4,2,0,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Leon Cameron",425,"WB","CW","1",23,1,11,34,1,0,0,3,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0
"Glenn Coleman",1314,"WB","CW","1",10,6,7,17,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Matthew Croft",414,"WB","CW","1",13,4,6,19,2,1,0,7,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Danny Del-Re",1220,"WB","CW","1",11,4,2,13,4,3,0,2,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
"Peter Foster",1270,"WB","CW","1",5,2,2,7,0,0,2,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
"Doug Hawkins",380,"WB","CW","1",5,1,4,9,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Mark Hunter",416,"WB","CW","1",16,0,3,19,0,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Nigel Kellett",420,"WB","CW","1",9,1,10,19,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Steven Kolyniuk",428,"WB","CW","1",19,4,4,23,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Tony Liberatore",426,"WB","CW","1",5,0,12,17,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Stephen Macpherson",435,"WB","CW","1",15,4,6,21,1,0,0,4,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0
"Matthew Mansfield",1323,"WB","CW","1",13,3,0,13,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Keenan Reynolds",769,"WB","CW","1",8,3,1,9,1,0,0,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Rohan Smith",429,"WB","CW","1",10,3,6,16,2,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Barry Standfield",47,"WB","CW","1",7,3,1,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Stephen Wallis",413,"WB","CW","1",22,11,9,31,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Scott West",418,"WB","CW","1",4,0,3,7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Scott Wynd",424,"WB","CW","1",3,3,9,12,0,0,13,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Brett Allison",770,"NM","BB","1",15,2,6,21,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"John Blakey",762,"NM","BB","1",5,4,8,13,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Brendan Bower",4019,"NM","BB","1",8,1,1,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wayne Carey",766,"NM","BB","1",11,7,6,17,4,2,4,0,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0
"Darren Crocker",781,"NM","BB","1",9,3,3,12,2,2,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Greg Eppelstun",1276,"NM","BB","1",2,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ian Fairley",778,"NM","BB","1",8,1,1,9,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Peter German",1228,"NM","BB","1",12,3,3,15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Alex Ishchenko",771,"NM","BB","1",6,5,3,9,1,0,13,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Dean Laidley",756,"NM","BB","1",8,1,3,11,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Matthew Larkin",1303,"NM","BB","1",8,2,8,16,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"John Longmire",760,"NM","BB","1",14,7,6,20,8,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0
"Mick Martyn",757,"NM","BB","1",9,2,2,11,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Mark Roberts",767,"NM","BB","1",5,1,4,9,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Anthony Rock",674,"NM","BB","1",13,2,2,15,1,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Jose Romero",423,"NM","BB","1",9,0,4,13,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Wayne Schwass",764,"NM","BB","1",20,0,11,31,0,1,0,2,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0
"Craig Sholl",761,"NM","BB","1",16,7,5,21,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Ross Smith",758,"NM","BB","1",6,1,7,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Stevens",772,"NM","BB","1",10,0,0,10,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Marcus Ashcroft",110,"BB","NM","1",9,2,6,15,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"David Bain",1172,"BB","NM","1",14,7,4,18,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Nathan Buckley",217,"BB","NM","1",14,8,3,17,2,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Matthew Campbell",1281,"BB","NM","1",10,3,7,17,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Richard Champion",95,"BB","NM","1",13,6,6,19,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
