"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"David Albiston",2455,"HW","CA","1",9,0,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ken Beck",2541,"HW","CA","1",18,7,0,18,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0
"Morton Browne",2601,"HW","CA","1",15,4,3,18,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Bob Carroll",9966,"HW","CA","1",10,2,1,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Graham Cooper",2720,"HW","CA","1",8,3,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Kevin Coverdale",2727,"HW","CA","1",14,6,0,14,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Des Dickson",2780,"HW","CA","1",11,1,1,12,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
"Neil Ferguson",2871,"HW","CA","1",8,3,1,9,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Phil Hay",3026,"HW","CA","1",9,3,0,9,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Allan Joyce",3147,"HW","CA","1",5,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ian Law",3199,"HW","CA","1",11,0,1,12,2,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Cam McPherson",3338,"HW","CA","1",4,1,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Ron Nalder",3413,"HW","CA","1",5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rod Olsson",3477,"HW","CA","1",13,3,1,14,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"David Parkin",2055,"HW","CA","1",19,6,0,19,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"John Peck",3520,"HW","CA","1",9,2,2,11,3,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Don Roach",3594,"HW","CA","1",2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John Tickell",10273,"HW","CA","1",6,1,2,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Garry Young",3928,"HW","CA","1",7,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colin Youren",3926,"HW","CA","1",10,1,0,10,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Graeme Anderson",2460,"CA","HW","1",7,1,0,7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Ron Barassi",2521,"CA","HW","1",11,5,5,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Terry Board",10276,"CA","HW","1",10,0,1,11,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Ian Collins",2710,"CA","HW","1",16,5,3,19,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Gordon Collis",2708,"CA","HW","1",12,7,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berkeley Cox",2729,"CA","HW","1",13,3,5,18,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Adrian Gallagher",1745,"CA","HW","1",17,4,5,22,2,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
"Barry Gill",2933,"CA","HW","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John Gill",2932,"CA","HW","1",11,1,0,11,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"John Goold",2946,"CA","HW","1",11,3,1,12,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Ken Greenwood",2969,"CA","HW","1",12,2,1,13,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Roger Hoggett",10204,"CA","HW","1",7,0,2,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"John Kemp",10278,"CA","HW","1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Murray Kick",3164,"CA","HW","1",9,4,3,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Wes Lofts",3221,"CA","HW","1",6,0,6,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"John Nicholls",3422,"CA","HW","1",14,4,4,18,2,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0
"Jim Pleydell",3536,"CA","HW","1",5,2,2,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Maurice Sankey",3657,"CA","HW","1",17,7,1,18,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"Sergio Silvagni",3696,"CA","HW","1",12,8,0,12,3,4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
"Cliff Stewart",3744,"CA","HW","1",9,2,1,10,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Darrel Baldock",2518,"SK","CW","1",19,3,6,25,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Ian Cooper",2721,"SK","CW","1",10,5,1,11,1,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Ray Cross",2741,"SK","CW","1",9,3,1,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Carl Ditterich",1675,"SK","CW","1",13,4,1,14,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
"John Dowling",10094,"SK","CW","1",4,1,1,5,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Daryl Griffiths",2974,"SK","CW","1",8,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Rodger Head",3032,"SK","CW","1",12,2,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Verdun Howell",3091,"SK","CW","1",13,3,1,14,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Des Kennedy",10227,"SK","CW","1",13,2,3,16,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Ken Mann",10228,"SK","CW","1",7,2,4,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bruce McMaster-Smith",3337,"SK","CW","1",5,0,1,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Alan Morrow",3393,"SK","CW","1",14,5,1,15,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
"Bob Murray",2393,"SK","CW","1",2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ross Oakley",3434,"SK","CW","1",8,0,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jim Read",3574,"SK","CW","1",14,3,0,14,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
"Brian Sierakowski",3695,"SK","CW","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
