"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Stan Alves",1485,"ME","CA","1",9,5,3,12,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Garry Baker",1501,"ME","CA","1",11,6,1,12,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
"Ray Biffin",1528,"ME","CA","1",5,2,3,8,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Ross Brewer",1549,"ME","CA","1",13,7,5,18,2,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"Neil Chamberlain",10732,"ME","CA","1",11,3,4,15,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Denis Clark",2333,"ME","CA","1",15,2,7,22,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"John Clennett",3005,"ME","CA","1",6,4,2,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mike Collins",10621,"ME","CA","1",1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wayne Delmenico",10687,"ME","CA","1",12,5,2,14,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Carl Ditterich",1675,"ME","CA","1",14,2,4,18,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Robert Flower",1725,"ME","CA","1",9,1,1,10,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Frank Giampaolo",2354,"ME","CA","1",9,1,0,9,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Gary Hardeman",1789,"ME","CA","1",12,3,8,20,0,2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"Peter Keenan",1863,"ME","CA","1",2,0,2,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"Stephen Kerley",1875,"ME","CA","1",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevin Moore",10776,"ME","CA","1",10,3,3,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Graham Osborne",2402,"ME","CA","1",10,5,2,12,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Mal Owens",3490,"ME","CA","1",11,1,1,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"John Tilbrook",2222,"ME","CA","1",10,2,0,10,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Greg Wells",2260,"ME","CA","1",15,1,3,18,1,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
"Barry Armstrong",1489,"CA","ME","1",26,6,0,26,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Rodney Ashman",1492,"CA","ME","1",17,7,4,21,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Ray Byrne",1574,"CA","ME","1",8,2,6,14,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Gary Crane",1634,"CA","ME","1",15,3,1,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Craig Davis",1656,"CA","ME","1",13,5,1,14,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bruce Doull",1680,"CA","ME","1",11,5,5,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Peter Hall",10671,"CA","ME","1",2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syd Jackson",2370,"CA","ME","1",6,4,1,7,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Alex Jesaulenko",1844,"CA","ME","1",13,2,0,13,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Peter Jones",1853,"CA","ME","1",11,8,7,18,3,2,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0
"Trevor Keogh",1872,"CA","ME","1",17,1,3,20,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0
"David McKay",1968,"CA","ME","1",15,10,1,16,4,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"John Nicholls",3422,"CA","ME","1",3,2,8,11,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"John OConnell",10607,"CA","ME","1",6,0,2,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Phillip Pinnell",2409,"CA","ME","1",10,3,2,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bryan Quirk",2411,"CA","ME","1",14,4,2,16,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Geoff Southby",2183,"CA","ME","1",4,2,3,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Vin Waite",2246,"CA","ME","1",9,2,3,12,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
"Brian Walsh",2439,"CA","ME","1",18,4,3,21,3,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
"Graeme Whitnall",2442,"CA","ME","1",1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"George Bisset",1532,"CW","ES","1",21,3,4,25,3,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0
"Jeff Clifton",2693,"CW","ES","1",3,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ian Cooper",2337,"CW","ES","1",5,1,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Paul Cranage",10766,"CW","ES","1",15,2,1,16,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
"Robert Dean",1662,"CW","ES","1",18,6,1,19,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Ross Dunne",1686,"CW","ES","1",12,6,2,14,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Graeme Dunstan",3003,"CW","ES","1",10,3,1,11,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Doug Gott",1762,"CW","ES","1",4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bob Heard",1803,"CW","ES","1",6,4,0,6,3,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Allan Holmes",3074,"CW","ES","1",10,4,3,13,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Phil Manassa",1938,"CW","ES","1",9,2,0,9,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Peter McKenna",1969,"CW","ES","1",8,6,0,8,2,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Rod Oborne",2046,"CW","ES","1",17,4,0,17,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
"Barry Price",2085,"CW","ES","1",15,4,6,21,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Max Richardson",1896,"CW","ES","1",18,2,1,19,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
"Wayne Richardson",2109,"CW","ES","1",28,3,2,30,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0
"Ray Shaw",2161,"CW","ES","1",16,1,2,18,1,2,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0
"Graeme Shephard",2427,"CW","ES","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Len Thompson",2215,"CW","ES","1",10,5,6,16,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"John Williams",2277,"CW","ES","1",11,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Ron Andrews",1487,"ES","CW","1",17,5,4,21,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"Steve Beaumont",2316,"ES","CW","1",0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"John Cassin",1591,"ES","CW","1",12,3,7,19,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"Robin Close",1607,"ES","CW","1",10,7,1,11,2,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
"Neville Fields",1719,"ES","CW","1",17,2,2,19,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
"Ken Fletcher",1724,"ES","CW","1",19,3,1,20,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Peter Hickmott",10705,"ES","CW","1",13,2,4,17,3,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Graeme Jenkin",2371,"ES","CW","1",6,3,3,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Don McKenzie",1970,"ES","CW","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Laurie Moloney",2389,"ES","CW","1",7,2,3,10,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"Graham Moss",2007,"ES","CW","1",9,7,5,14,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Rob Newton",2397,"ES","CW","1",7,2,3,10,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Alan Noonan",2030,"ES","CW","1",9,5,3,12,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Gary Parkes",2057,"ES","CW","1",12,3,1,13,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Greg Perry",2405,"ES","CW","1",7,3,6,13,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Geoff Pryor",2087,"ES","CW","1",9,0,3,12,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Ray Smith",2176,"ES","CW","1",12,0,5,17,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Des Tuddenham",2228,"ES","CW","1",16,2,5,21,3,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0
"Trevor Tyler",10751,"ES","CW","1",6,0,0,6,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Andrew Wilson",2275,"ES","CW","1",21,3,3,24,1,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"Peter Bell",10737,"SK","FI","1",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Neil Besanko",1526,"SK","FI","1",8,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barry Breen",1548,"SK","FI","1",13,5,4,17,1,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Paul Callery",1576,"SK","FI","1",21,3,5,26,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0
"Gary Colling",1617,"SK","FI","1",4,3,5,9,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Allan Davis",1655,"SK","FI","1",23,2,4,27,1,2,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0
"Bruce Duperouzel",1691,"SK","FI","1",14,2,4,18,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Glenn Elliott",1703,"SK","FI","1",25,6,5,30,1,6,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0
"David Ellis",10694,"SK","FI","1",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rod Galt",1746,"SK","FI","1",9,2,3,12,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Russell Greene",1767,"SK","FI","1",17,5,4,21,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
"Wayne Judson",1859,"SK","FI","1",10,3,2,12,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Jeff Moran",3397,"SK","FI","1",11,0,0,11,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0
"Brian Mynott",2396,"SK","FI","1",12,5,1,13,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Kevin Neale",2025,"SK","FI","1",5,4,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Russell Reynolds",2106,"SK","FI","1",9,1,8,17,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Jeff Sarau",2140,"SK","FI","1",11,5,3,14,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Stephen Theodore",2213,"SK","FI","1",13,4,8,21,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
"Stuart Trott",2437,"SK","FI","1",22,3,1,23,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0
"George Young",2299,"SK","FI","1",14,3,2,16,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Geoffrey Austen",1497,"FI","SK","1",7,2,1,8,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"John Duckworth",2348,"FI","SK","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dean Farnham",10799,"FI","SK","1",5,2,1,6,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Warwick Irwin",1831,"FI","SK","1",15,1,10,25,2,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Trevor Lloyd",10659,"FI","SK","1",13,2,3,16,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Andrew Lukas",3242,"FI","SK","1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Ian McCulloch",1955,"FI","SK","1",9,5,5,14,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"David McMahon",1980,"FI","SK","1",12,3,2,14,0,2,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0
"Harvey Merrigan",1984,"FI","SK","1",6,1,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ian Miller",2386,"FI","SK","1",7,2,0,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"John Murphy",2017,"FI","SK","1",29,2,3,32,2,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0
"Kevin Murray",2018,"FI","SK","1",13,2,6,19,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0
"Barry Padley",2403,"FI","SK","1",12,1,2,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Laurie Richards",2413,"FI","SK","1",16,8,9,25,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Alex Ruscuklic",3643,"FI","SK","1",2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Doug Searl",2151,"FI","SK","1",14,3,2,16,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
