"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Kevin Bartlett",1509,"RI","CA","1",9,2,2,11,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Francis Bourke",1539,"RI","CA","1",8,2,4,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"David Cloke",1286,"RI","CA","1",11,7,2,13,0,2,11,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Emmett Dunne",1689,"RI","CA","1",10,5,3,13,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Jim Jess",1845,"RI","CA","1",4,1,3,7,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Merv Keane",1861,"RI","CA","1",4,2,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Mark Lee",1363,"RI","CA","1",3,0,4,7,0,0,20,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Mick Malthouse",2377,"RI","CA","1",11,1,5,16,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
"Michael Nugent",11039,"RI","CA","1",2,1,2,4,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Geoff Raines",2092,"RI","CA","1",19,2,8,27,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
"Michael Roach",2114,"RI","CA","1",11,8,0,11,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Barry Rowlings",2133,"RI","CA","1",17,2,1,18,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Paul Sarah",2142,"RI","CA","1",10,2,1,11,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Terry Smith",2180,"RI","CA","1",9,2,10,19,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Greg Strachan",2198,"RI","CA","1",9,0,5,14,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Bruce Tempany",2211,"RI","CA","1",4,4,6,10,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Dale Weightman",1256,"RI","CA","1",14,4,15,29,2,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
"Peter Welsh",2262,"RI","CA","1",11,1,5,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Robert Wiley",2280,"RI","CA","1",11,0,4,15,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Bryan Wood",2290,"RI","CA","1",14,8,8,22,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Barry Armstrong",1489,"CA","RI","1",13,0,4,17,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Rodney Ashman",1492,"CA","RI","1",16,2,6,22,2,4,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
"Rod Austin",1496,"CA","RI","1",7,0,2,9,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
