"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Paul Abbott",1275,"HW","CA","1",13,5,6,19,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Gary Ayres",1257,"HW","CA","1",12,1,6,18,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Dermott Brereton",234,"HW","CA","1",8,7,2,10,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Gary Buckenara",1387,"HW","CA","1",9,6,9,18,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrew Collins",625,"HW","CA","1",7,2,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Peter Curran",1378,"HW","CA","1",11,6,2,13,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Robert Dickson",1673,"HW","CA","1",13,7,13,26,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Robert DiPierdomenico",1350,"HW","CA","1",12,3,6,18,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Jason Dunstall",632,"HW","CA","1",11,9,1,12,5,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Russell Greene",1767,"HW","CA","1",7,2,7,14,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tony Hall",13,"HW","CA","1",10,4,7,17,1,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Paul Harding",1163,"HW","CA","1",11,6,4,15,0,0,23,2,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0
"Ray Jencke",629,"HW","CA","1",5,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Langford",639,"HW","CA","1",11,1,2,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Richard Loveridge",1928,"HW","CA","1",13,5,7,20,1,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Chris Mew",1326,"HW","CA","1",13,1,1,14,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"John Platten",636,"HW","CA","1",21,3,3,24,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Darrin Pritchard",630,"HW","CA","1",2,1,2,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Peter Schwab",1360,"HW","CA","1",10,2,10,20,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"Michael Tuck",1319,"HW","CA","1",15,3,4,19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ian Aitken",4029,"CA","HW","1",6,2,3,9,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Wayne Blackwell",1400,"CA","HW","1",19,10,7,26,1,2,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
"Craig Bradley",151,"CA","HW","1",21,3,2,23,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Steven Da Rui",1643,"CA","HW","1",10,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peter Dean",139,"CA","HW","1",7,6,6,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Richard Dennis",1297,"CA","HW","1",10,5,5,15,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jon Dorotich",1265,"CA","HW","1",4,3,0,4,0,1,7,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Jamie Dunlop",11371,"CA","HW","1",3,2,4,7,0,0,12,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"David Glascott",1333,"CA","HW","1",18,8,11,29,1,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
"Adrian Gleeson",152,"CA","HW","1",13,5,6,19,2,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Mil Hanna",146,"CA","HW","1",5,1,2,7,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Wayne Harmes",1790,"CA","HW","1",4,1,2,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ken Hunter",1826,"CA","HW","1",10,5,1,11,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Michael Kennedy",1610,"CA","HW","1",5,0,2,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"David Kernahan",1356,"CA","HW","1",6,3,3,9,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Stephen Kernahan",148,"CA","HW","1",10,9,1,11,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
