"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Neil Balme",1505,"RI","CA","1",2,1,4,6,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Kevin Bartlett",1509,"RI","CA","1",26,5,3,29,1,8,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Francis Bourke",1539,"RI","CA","1",11,4,6,17,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"David Cloke",1286,"RI","CA","1",17,13,7,24,7,1,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Glenn Dickson",10910,"RI","CA","1",12,5,4,16,1,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Allan Edwards",1699,"RI","CA","1",13,5,0,13,7,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
"John Einsiedel",10960,"RI","CA","1",16,5,6,22,0,1,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0
"Noel Jenkinson",2372,"RI","CA","1",2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Jim Jess",1845,"RI","CA","1",2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Merv Keane",1861,"RI","CA","1",9,3,3,12,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Eric Leech",10568,"RI","CA","1",6,5,4,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Mark Lee",1363,"RI","CA","1",4,2,2,6,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Bruce Monteath",1997,"RI","CA","1",14,7,10,24,4,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Geoff Raines",2092,"RI","CA","1",18,4,4,22,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Kevin Sheedy",2163,"RI","CA","1",13,3,5,18,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
"Ken Stonehouse",10876,"RI","CA","1",2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greg Strachan",2198,"RI","CA","1",8,5,6,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Wayne Walsh",3844,"RI","CA","1",23,3,3,26,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Dale Weightman",1256,"RI","CA","1",4,2,8,12,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bryan Wood",2290,"RI","CA","1",16,8,6,22,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Barry Armstrong",1489,"CA","RI","1",25,3,5,30,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Ray Byrne",1574,"CA","RI","1",7,2,4,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Vin Catoggio",1592,"CA","RI","1",17,2,3,20,2,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0
"Bruce Doull",1680,"CA","RI","1",5,1,4,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Wayne Harmes",1790,"CA","RI","1",6,2,3,9,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Kevin Heath",1801,"CA","RI","1",4,0,2,6,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Alex Jesaulenko",1844,"CA","RI","1",8,8,8,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Warren Jones",1855,"CA","RI","1",5,4,3,8,0,0,11,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Trevor Keogh",1872,"CA","RI","1",17,3,2,19,2,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0
"Mark MacLure",1931,"CA","RI","1",10,4,5,15,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Alan Mangels",1939,"CA","RI","1",6,0,6,12,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Peter McConville",1959,"CA","RI","1",7,4,4,11,3,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"David McKay",1968,"CA","RI","1",7,7,10,17,0,1,11,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Russell Ohlsen",2049,"CA","RI","1",2,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Phillip Pinnell",2409,"CA","RI","1",9,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ken Sheldon",1411,"CA","RI","1",8,2,0,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Geoff Southby",2183,"CA","RI","1",8,2,5,13,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Robert Walls",2248,"CA","RI","1",9,4,3,12,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Graeme Whitnall",2442,"CA","RI","1",8,2,9,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Michael Young",10940,"CA","RI","1",7,1,7,14,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Alan Atkinson",1493,"CW","GE","1",13,4,1,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ricky Barham",1510,"CW","GE","1",11,3,3,14,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Gerald Betts",10784,"CW","GE","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phil Carman",1584,"CW","GE","1",13,8,9,22,2,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
"Stephen Clifford",2335,"CW","GE","1",4,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wayne Gordon",2359,"CW","GE","1",7,1,3,10,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
"Andrew Ireland",1930,"CW","GE","1",9,4,5,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Rene Kink",1879,"CW","GE","1",14,5,2,16,5,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Stan Magro",1934,"CW","GE","1",9,3,6,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Phil Manassa",1938,"CW","GE","1",16,3,4,20,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Peter Moore",2000,"CW","GE","1",6,3,3,9,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
