"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Alan Bloomfield",10555,"NM","CA","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geoff Bryant",2610,"NM","CA","1",12,0,5,17,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"David Dench",1669,"NM","CA","1",10,1,2,12,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Mick Dowdle",2803,"NM","CA","1",15,1,5,20,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Doug Farrant",10419,"NM","CA","1",8,3,3,11,4,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Garry Farrant",1713,"NM","CA","1",10,3,7,17,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Paul Feltham",2350,"NM","CA","1",18,4,5,23,4,3,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0
"Barry Goodingham",2358,"NM","CA","1",6,6,7,13,0,0,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Keith Greig",1765,"NM","CA","1",12,1,5,17,2,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Kerry Haywood",10421,"NM","CA","1",11,0,3,14,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Athol Hodgetts",10615,"NM","CA","1",6,1,1,7,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Glenn Joseph",10558,"NM","CA","1",11,3,3,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Sam Kekovich",1864,"NM","CA","1",21,7,7,28,4,2,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
"Ken Montgomery",1996,"NM","CA","1",15,1,4,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Denis Pagan",2404,"NM","CA","1",16,5,2,18,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0
"John Perry",2406,"NM","CA","1",20,8,6,26,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Robert Peterson",3531,"NM","CA","1",22,3,5,27,1,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Phil Ryan",10559,"NM","CA","1",12,3,1,13,0,0,7,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Rob Smith",2430,"NM","CA","1",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ray Taylor",3771,"NM","CA","1",10,2,10,20,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
"Neil Chandler",1594,"CA","NM","1",10,2,6,16,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"Gary Crane",1634,"CA","NM","1",6,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Bruce Doull",1680,"CA","NM","1",11,4,4,15,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Barry Gill",2933,"CA","NM","1",17,2,2,19,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Ted Hopkins",3078,"CA","NM","1",2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Syd Jackson",2370,"CA","NM","1",8,1,1,9,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Alex Jesaulenko",1844,"CA","NM","1",11,1,1,12,3,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Trevor Keogh",1872,"CA","NM","1",16,1,4,20,1,3,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Gary Lawson-Smith",10605,"CA","NM","1",7,1,1,8,0,2,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Andrew Lukas",3242,"CA","NM","1",5,2,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"David McKay",1968,"CA","NM","1",10,6,1,11,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ricky McLean",2382,"CA","NM","1",15,5,2,17,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Barry Mulcair",10606,"CA","NM","1",11,2,2,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"John Nicholls",3422,"CA","NM","1",9,5,2,11,3,1,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Phillip Pinnell",2409,"CA","NM","1",16,4,3,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Bryan Quirk",2411,"CA","NM","1",17,4,1,18,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Ian Robertson",2415,"CA","NM","1",17,2,11,28,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
"Geoff Southby",2183,"CA","NM","1",12,4,2,14,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0
"Vin Waite",2246,"CA","NM","1",14,3,0,14,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0
"Brian Walsh",2439,"CA","NM","1",20,2,4,24,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Lee Adamson",2454,"CW","WB","1",10,3,1,11,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Alan Atkinson",1493,"CW","WB","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Con Britt",2323,"CW","WB","1",9,5,5,14,1,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Jeff Clifton",2693,"CW","WB","1",16,5,1,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Henry Coles",1616,"CW","WB","1",2,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Robert Dean",1662,"CW","WB","1",13,7,2,15,0,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Mike Delahunty",1665,"CW","WB","1",12,2,1,13,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Ross Dunne",1686,"CW","WB","1",10,2,2,12,2,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"John Greening",2361,"CW","WB","1",13,3,4,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Graeme Jenkin",2371,"CW","WB","1",9,5,3,12,0,0,16,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Peter McKenna",1969,"CW","WB","1",5,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian McKenzie",3322,"CW","WB","1",8,2,1,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Denis OCallaghan",10485,"CW","WB","1",16,6,2,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ted Potter",2410,"CW","WB","1",10,3,2,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Barry Price",2085,"CW","WB","1",20,2,4,24,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Max Richardson",1896,"CW","WB","1",10,3,4,14,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Wayne Richardson",2109,"CW","WB","1",33,5,12,45,4,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
"Len Thompson",2215,"CW","WB","1",14,4,3,17,4,1,8,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Des Tuddenham",2228,"CW","WB","1",29,7,11,40,9,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Terry Waters",3857,"CW","WB","1",14,5,3,17,1,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Graeme Austin",10584,"WB","CW","1",12,3,2,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"George Bisset",1532,"WB","CW","1",15,2,3,18,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Gordon Casey",1590,"WB","CW","1",15,4,3,18,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"David Darcy",2753,"WB","CW","1",10,4,5,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Graeme Joslin",10532,"WB","CW","1",10,1,3,13,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Stuart Magee",2376,"WB","CW","1",16,4,3,19,1,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Alan Mannix",3263,"WB","CW","1",5,1,4,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
