"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Jon Collins",1618,"NM","CA","1",7,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gary Cowton",1630,"NM","CA","1",7,3,4,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Gary Dempsey",1667,"NM","CA","1",4,3,4,8,0,0,23,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"David Dench",1669,"NM","CA","1",14,3,5,19,2,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
"Dean Dugdale",11078,"NM","CA","1",6,4,5,11,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Glenn Dugdale",11079,"NM","CA","1",2,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ian Dunstan",1687,"NM","CA","1",15,3,5,20,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Ian Fairley",778,"NM","CA","1",3,2,1,4,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Tony Furey",1743,"NM","CA","1",8,2,1,9,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Kym Hodgeman",1812,"NM","CA","1",9,2,5,14,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"John Holt",1815,"NM","CA","1",7,0,3,10,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Paul Johnson",11209,"NM","CA","1",7,4,3,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Jim Krakouer",1389,"NM","CA","1",9,2,7,16,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Phil Krakouer",1906,"NM","CA","1",12,7,2,14,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Stephen McCann",1956,"NM","CA","1",7,2,2,9,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Donald McDonald",1961,"NM","CA","1",5,1,2,7,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Roy Ramsay",2094,"NM","CA","1",10,5,6,16,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Wayne Schimmelbusch",2145,"NM","CA","1",16,4,10,26,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Peter Smith",11083,"NM","CA","1",5,1,2,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Grant Thomas",2218,"NM","CA","1",12,2,4,16,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Tom Alvin",1178,"CA","NM","1",8,3,15,23,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Wayne Blackwell",1400,"CA","NM","1",5,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jim Buckley",1564,"CA","NM","1",21,5,1,22,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
"Bruce Doull",1680,"CA","NM","1",7,1,6,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Des English",1708,"CA","NM","1",11,3,8,19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"David Glascott",1333,"CA","NM","1",13,4,5,18,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Wayne Harmes",1790,"CA","NM","1",12,9,6,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"David Honybun",1283,"CA","NM","1",2,1,2,4,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Ken Hunter",1826,"CA","NM","1",19,9,11,30,2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Wayne Johnston",1849,"CA","NM","1",32,10,11,43,5,1,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0
