"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Ben Allan",481,"HW","AD","1",17,3,2,19,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Dean Anderson",923,"HW","AD","1",26,4,8,34,1,2,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Gary Ayres",1257,"HW","AD","1",12,2,6,18,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Dermott Brereton",234,"HW","AD","1",7,6,4,11,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Andrew Collins",625,"HW","AD","1",7,1,8,15,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Anthony Condon",635,"HW","AD","1",12,7,4,16,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Paul Dear",641,"HW","AD","1",11,4,7,18,1,2,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Jason Dunstall",632,"HW","AD","1",5,3,3,8,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Paul Hudson",451,"HW","AD","1",9,5,11,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Darren Jarman",36,"HW","AD","1",13,6,6,19,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Ray Jencke",629,"HW","AD","1",11,7,4,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"John Kennedy",1351,"HW","AD","1",14,2,6,20,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
"Chris Langford",639,"HW","AD","1",9,4,8,17,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Stephen Lawrence",634,"HW","AD","1",6,3,2,8,0,0,6,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Scott Maginness",626,"HW","AD","1",7,2,2,9,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"James Morrissey",1306,"HW","AD","1",9,4,6,15,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"John Platten",636,"HW","AD","1",11,2,4,15,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Darrin Pritchard",630,"HW","AD","1",16,5,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matthew Robran",23,"HW","AD","1",7,4,9,16,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Chris Wittman",1317,"HW","AD","1",15,1,5,20,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Grantley Fielke",1316,"AD","HW","1",19,3,9,28,0,1,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Darel Hart",11504,"AD","HW","1",7,4,10,17,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Eddie Hocking",11505,"AD","HW","1",3,2,5,8,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Rod Jameson",3,"AD","HW","1",2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Andrew Jarman",8,"AD","HW","1",15,4,14,29,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"John Klug",11507,"AD","HW","1",11,9,10,21,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Scott Lee",1,"AD","HW","1",15,9,14,29,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Bruce Lindner",1921,"AD","HW","1",9,2,6,15,4,2,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
"Bruce Lindsay",11509,"AD","HW","1",10,4,4,14,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"David Marshall",3990,"AD","HW","1",22,7,7,29,2,0,0,1,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0
"Rodney Maynard",26,"AD","HW","1",12,8,8,20,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Chris McDermott",17,"AD","HW","1",11,3,10,21,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Tony McGuinness",18,"AD","HW","1",22,3,2,24,3,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Peter McIntyre",11510,"AD","HW","1",6,5,7,13,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Romano Negri",1289,"AD","HW","1",1,5,9,10,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Nigel Smart",5,"AD","HW","1",6,6,9,15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Darren Smith",11512,"AD","HW","1",13,10,3,16,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Robert Thompson",3785,"AD","HW","1",16,3,4,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Simon Tregenza",9,"AD","HW","1",21,3,10,31,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Tom Warhurst",11513,"AD","HW","1",4,3,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Banik",619,"RI","SK","1",8,3,5,13,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"David Cloke",1286,"RI","SK","1",14,11,15,29,0,1,8,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0
"Brendon Gale",868,"RI","SK","1",2,2,5,7,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stuart Griffiths",1273,"RI","SK","1",7,2,7,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jeff Hogg",381,"RI","SK","1",6,3,2,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terry Keays",11377,"RI","SK","1",14,7,4,18,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Matthew Knights",865,"RI","SK","1",12,5,7,19,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Craig Lambert",123,"RI","SK","1",14,3,16,30,2,0,0,1,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0
"Mark Lee",1363,"RI","SK","1",2,1,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Brian Leys",1197,"RI","SK","1",4,3,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mark McQueen",1246,"RI","SK","1",11,4,4,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chris Naish",840,"RI","SK","1",12,0,7,19,4,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Trent Nichols",765,"RI","SK","1",27,9,5,32,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Justin Pickering",1364,"RI","SK","1",15,6,10,25,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Tim Powell",1208,"RI","SK","1",11,1,2,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Stephen Ryan",1167,"RI","SK","1",11,5,4,15,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Craig Smith",1271,"RI","SK","1",14,6,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jason Smith",11487,"RI","SK","1",2,0,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Scott Turner",859,"RI","SK","1",7,3,3,10,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Barry Young",308,"RI","SK","1",9,2,4,13,1,0,0,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Nathan Burke",919,"SK","RI","1",18,2,6,24,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Frank Coghlan",1609,"SK","RI","1",11,1,1,12,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Danny Craven",120,"SK","RI","1",21,0,11,32,0,3,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
"Steven Cummings",11457,"SK","RI","1",15,4,3,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jayson Daniels",948,"SK","RI","1",10,5,13,23,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Mick Dwyer",406,"SK","RI","1",9,1,4,13,0,1,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Gordon Fode",936,"SK","RI","1",6,1,5,11,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Danny Frawley",918,"SK","RI","1",3,1,1,4,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"David Grant",716,"SK","RI","1",9,4,2,11,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Paul Harding",1163,"SK","RI","1",2,0,3,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Robert Harvey",930,"SK","RI","1",17,6,10,27,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Damian Kitschke",1293,"SK","RI","1",8,4,3,11,1,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Stewart Loewe",927,"SK","RI","1",11,7,4,15,4,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"Gilbert McAdam",113,"SK","RI","1",23,8,9,32,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Russell Morris",1188,"SK","RI","1",12,6,4,16,1,1,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Ian Muller",11239,"SK","RI","1",4,2,6,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stephen Newport",1266,"SK","RI","1",5,4,4,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Tim Pekin",937,"SK","RI","1",15,6,12,27,2,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Dean Rice",158,"SK","RI","1",16,9,0,16,5,1,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"Brian Wilson",1362,"SK","RI","1",3,4,5,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Colin Alexander",3996,"CW","WB","1",7,0,5,12,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Denis Banks",1507,"CW","WB","1",8,5,3,11,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Gavin Crosisca",212,"CW","WB","1",13,4,8,21,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Peter Daicos",1253,"CW","WB","1",11,1,4,15,5,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Tony Francis",238,"CW","WB","1",19,4,5,24,2,3,0,2,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0
"Michael Gayfer",4003,"CW","WB","1",8,3,5,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Craig Kelly",213,"CW","WB","1",4,7,6,10,1,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Shane Kerrison",230,"CW","WB","1",4,1,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"James Manson",395,"CW","WB","1",0,3,9,9,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ron McKeown",1285,"CW","WB","1",10,7,1,11,5,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Darren Millane",1292,"CW","WB","1",21,7,10,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damian Monkhorst",223,"CW","WB","1",6,5,9,15,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
