"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Barry Armstrong",1489,"CA","ES","3",18,4,15,33,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Vin Catoggio",1592,"CA","ES","3",6,3,2,8,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Dennis Collins",1897,"CA","ES","3",14,3,4,18,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
"Bruce Doull",1680,"CA","ES","3",10,4,10,20,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Mike Fitzpatrick",1722,"CA","ES","3",12,7,4,16,1,1,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Peter Francis",1739,"CA","ES","3",8,1,1,9,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Rod Galt",1746,"CA","ES","3",8,4,2,10,3,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Wayne Harmes",1790,"CA","ES","3",9,1,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevin Heath",1801,"CA","ES","3",4,2,6,10,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Alex Jesaulenko",1844,"CA","ES","3",18,6,6,24,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Wayne Johnston",1849,"CA","ES","3",15,3,5,20,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Peter Jones",1853,"CA","ES","3",4,1,3,7,0,0,9,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"Trevor Keogh",1872,"CA","ES","3",23,8,2,25,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
"Robbert Klomp",1881,"CA","ES","3",7,0,6,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Mark MacLure",1931,"CA","ES","3",19,11,9,28,1,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Alex Marcou",1946,"CA","ES","3",12,2,3,15,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"David McKay",1968,"CA","ES","3",6,8,10,16,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Phillip Pinnell",2409,"CA","ES","3",18,1,5,23,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Ken Sheldon",1411,"CA","ES","3",16,3,6,22,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Geoff Southby",2183,"CA","ES","3",8,0,6,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Peter Bennett",1523,"ES","CA","3",16,7,4,20,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Neil Besanko",1526,"ES","CA","3",15,1,4,19,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
