"Player","ID","Team","Opponent","Round","Kicks","Marks","Hand Balls","Disp","Goals","Behinds","Hit Outs","Tackles","Rebounds","Inside 50","Clearances","Clangers","Frees For","Frees Against","Brownlow","Uncontested Possessions","Contested Possessions","Contested Marks","Marks Inside 50","One Percenters","Bounces","Goal Assists","% Time Played"
"Rodney Ashman",1492,"CA","GE","1",18,6,6,24,3,2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"Rod Austin",1496,"CA","GE","1",7,0,1,8,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
"Jim Buckley",1564,"CA","GE","1",12,2,1,13,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Ray Byrne",1574,"CA","GE","1",12,5,7,19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Bruce Doull",1680,"CA","GE","1",10,6,1,11,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Rod Galt",1746,"CA","GE","1",12,7,2,14,2,6,6,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Danny Halloran",2366,"CA","GE","1",4,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kevin Heath",1801,"CA","GE","1",10,4,2,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Alex Jesaulenko",1844,"CA","GE","1",19,10,7,26,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Peter Jones",1853,"CA","GE","1",10,4,2,12,2,1,27,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
"Trevor Keogh",1872,"CA","GE","1",18,5,3,21,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Mark MacLure",1931,"CA","GE","1",18,10,1,19,4,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Alan Mangels",1939,"CA","GE","1",6,2,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Russell Ohlsen",2049,"CA","GE","1",17,3,8,25,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Phillip Pinnell",2409,"CA","GE","1",6,5,6,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Tony Southcombe",10939,"CA","GE","1",7,2,4,11,1,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Greg Towns",2225,"CA","GE","1",16,6,4,20,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
"John Tresize",2436,"CA","GE","1",3,0,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Robert Walls",2248,"CA","GE","1",15,5,2,17,3,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0
"Graeme Whitnall",2442,"CA","GE","1",8,0,4,12,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Rod Blake",1533,"GE","CA","1",7,3,5,12,0,0,13,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Terry Bright",1551,"GE","CA","1",5,2,5,10,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Mark Browne",2326,"GE","CA","1",9,1,6,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Jeff Cassidy",10804,"GE","CA","1",7,0,3,10,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"David Clarke",1895,"GE","CA","1",19,2,1,20,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
"Bryan Cousins",1626,"GE","CA","1",9,1,2,11,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Larry Donohue",1678,"GE","CA","1",5,3,0,5,0,3,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
"Jack Hawkins",1796,"GE","CA","1",8,4,5,13,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Kevin Higgins",1808,"GE","CA","1",6,2,0,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Graeme Landy",1912,"GE","CA","1",13,6,1,14,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
"Gary Malarkey",1936,"GE","CA","1",8,7,6,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Bruce Nankervis",2022,"GE","CA","1",22,10,3,25,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
"Ian Nankervis",2023,"GE","CA","1",10,0,1,11,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Robert Neal",2026,"GE","CA","1",15,4,4,19,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Sam Newman",2028,"GE","CA","1",9,5,3,12,0,0,9,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"John Preen",10809,"GE","CA","1",3,0,2,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Paul Sarah",2142,"GE","CA","1",14,3,0,14,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Kevin Sheehan",2164,"GE","CA","1",6,2,2,8,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Michael Turner",2230,"GE","CA","1",13,2,1,14,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Michael Woolnough",2293,"GE","CA","1",9,2,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alan Atkinson",1493,"CW","WB","1",8,1,2,10,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Murrie Batt",10857,"CW","WB","1",5,3,3,8,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Gerald Betts",10784,"CW","WB","1",11,5,1,12,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Shane Bond",2320,"CW","WB","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phil Carman",1584,"CW","WB","1",16,10,6,22,3,1,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"Ian Cooper",2337,"CW","WB","1",11,1,3,14,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"Ross Dunne",1686,"CW","WB","1",14,4,3,17,3,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Kerry Foley",10767,"CW","WB","1",8,3,4,12,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Kevin Grose",2363,"CW","WB","1",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Robert Hyde",2369,"CW","WB","1",9,3,2,11,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Andrew Ireland",1930,"CW","WB","1",12,2,3,15,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Peter McCormack",1957,"CW","WB","1",2,2,0,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Bill Picken",2076,"CW","WB","1",15,5,2,17,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Max Richardson",1896,"CW","WB","1",13,2,3,16,2,1,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Wayne Richardson",2109,"CW","WB","1",18,5,2,20,3,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Ray Shaw",2161,"CW","WB","1",18,6,5,23,4,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Len Thompson",2215,"CW","WB","1",8,4,5,13,0,1,14,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
"Des Tuddenham",2228,"CW","WB","1",8,1,1,9,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Ronnie Wearmouth",2256,"CW","WB","1",11,2,9,20,0,2,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
"Kevin Worthington",2294,"CW","WB","1",7,2,2,9,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Dennis Blair",2317,"WB","CW","1",9,4,6,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Dennis Collins",1897,"WB","CW","1",18,7,2,20,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Colin Dell",3006,"WB","CW","1",8,1,3,11,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Gary Dempsey",1667,"WB","CW","1",12,5,3,15,0,0,37,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0
"Ian Dunstan",1687,"WB","CW","1",12,2,1,13,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0
"Ian Hampshire",1778,"WB","CW","1",11,7,7,18,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Ray Huppatz",1827,"WB","CW","1",8,2,3,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Geoff Jennings",1842,"WB","CW","1",19,2,5,24,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Mick Kelly",1867,"WB","CW","1",3,1,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Ian Low",10844,"WB","CW","1",11,4,6,17,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Ian Morrison",2391,"WB","CW","1",4,2,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peter Munro",10880,"WB","CW","1",10,1,2,12,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Lee Perussich",2407,"WB","CW","1",8,2,2,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Bernie Quinlan",2091,"WB","CW","1",7,4,2,9,1,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0
"Laurie Sandilands",2423,"WB","CW","1",8,3,4,12,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Alan Stoneham",2196,"WB","CW","1",16,8,9,25,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Kelvin Templeton",2210,"WB","CW","1",14,4,1,15,6,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Peter Welsh",2261,"WB","CW","1",9,5,2,11,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Terry Wheeler",2265,"WB","CW","1",10,2,2,12,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Ted Whitten",2443,"WB","CW","1",16,2,4,20,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Trevor Barker",1511,"SK","ES","1",15,3,2,17,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Peter Bell",10737,"SK","ES","1",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neil Besanko",1526,"SK","ES","1",11,5,6,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Doug Booth",10869,"SK","ES","1",2,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Barry Breen",1548,"SK","ES","1",17,11,4,21,2,1,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0
"Paul Callery",1576,"SK","ES","1",10,1,4,14,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Colin Carter",10829,"SK","ES","1",12,0,7,19,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Gary Colling",1617,"SK","ES","1",5,1,5,10,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Carl Ditterich",1675,"SK","ES","1",8,0,3,11,0,1,11,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
"Bruce Duperouzel",1691,"SK","ES","1",17,3,5,22,1,2,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0
"Glenn Elliott",1703,"SK","ES","1",24,13,10,34,2,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0
"Robert Elliott",1704,"SK","ES","1",10,4,0,10,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Russell Greene",1767,"SK","ES","1",18,6,4,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Wayne Judson",1859,"SK","ES","1",12,3,1,13,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Gary Lofts",1924,"SK","ES","1",8,5,5,13,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Robert Muir",2392,"SK","ES","1",9,3,2,11,1,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Kevin Neale",2025,"SK","ES","1",13,8,3,16,0,0,11,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
"Val Perovic",2066,"SK","ES","1",12,3,2,14,1,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"Jeff Sarau",2140,"SK","ES","1",11,6,6,17,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"George Young",2299,"SK","ES","1",4,1,3,7,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Ron Andrews",1487,"ES","SK","1",10,6,6,16,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0
"Greg Bell",10838,"ES","SK","1",9,2,3,12,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Geoff Burdett",1569,"ES","SK","1",7,0,5,12,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"Terry Cahill",2328,"ES","SK","1",17,10,8,25,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Neil Clarke",1604,"ES","SK","1",12,2,7,19,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
"Robin Close",1607,"ES","SK","1",5,3,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Max Crow",1638,"ES","SK","1",15,9,5,20,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
